         74060 function calls in 0.034 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        9    0.000    0.000    0.003    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\clustering.py:87(sort_by_path_length_and_points)
        1    0.000    0.000    0.070    0.070 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pfad_und_routen.py:19(move_without_gem)
       45    0.003    0.000    0.015    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pathfinding_logics.py:520(get_fov)
     2340    0.008    0.000    0.011    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pathfinding_logics.py:546(is_visible_till)
        1    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\matrix.py:69(make_current_matrix)
        1    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\matrix.py:86(reset_matrix_floors)
     1764    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\clustering.py:68(get_value_for_age)
        2    0.000    0.000    0.013    0.006 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\clustering.py:190(get_mid_for_each_cluster)
        2    0.003    0.002    0.069    0.035 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\clustering.py:10(cluster_frontiers)
        2    0.011    0.005    0.025    0.013 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\clustering.py:248(assign_unknowns_to_frontiers)
        4    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        2    0.000    0.000    0.003    0.002 {method 'sort' of 'list' objects}
       18    0.000    0.000    0.000    0.000 {built-in method builtins.id}
     4680    0.000    0.000    0.000    0.000 {built-in method builtins.max}


         1596651 function calls in 0.798 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      103    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\checks.py:19(check_if_destination_in_gems)
   171800    0.044    0.000    0.044    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\zustand.py:20(__eq__)
   317441    0.132    0.000    0.132    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\zustand.py:10(__init__)
   501051    0.079    0.000    0.079    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\zustand.py:17(__hash__)
